"행정구역별(시군구)","가구주의 성별","가구주의 연령별",2017
"행정구역별(시군구)","가구주의 성별","가구주의 연령별",1세대가구-부부
"전국","계","50~54세",233858
"전국","계","55~59세",409535
"전국","계","60~64세",522850
"서울특별시","계","50~54세",30026
"서울특별시","계","55~59세",50426
"서울특별시","계","60~64세",76642
"종로구","계","50~54세",548
"종로구","계","55~59세",862
"종로구","계","60~64세",1178
"중구","계","50~54세",443
"중구","계","55~59세",735
"중구","계","60~64세",987
"용산구","계","50~54세",813
"용산구","계","55~59세",1159
"용산구","계","60~64세",1609
"성동구","계","50~54세",952
"성동구","계","55~59세",1646
"성동구","계","60~64세",2231
"광진구","계","50~54세",1041
"광진구","계","55~59세",1593
"광진구","계","60~64세",2494
"동대문구","계","50~54세",1010
"동대문구","계","55~59세",1821
"동대문구","계","60~64세",2875
"중랑구","계","50~54세",1355
"중랑구","계","55~59세",2498
"중랑구","계","60~64세",3547
"성북구","계","50~54세",1221
"성북구","계","55~59세",2154
"성북구","계","60~64세",3495
"강북구","계","50~54세",913
"강북구","계","55~59세",1714
"강북구","계","60~64세",2739
"도봉구","계","50~54세",1004
"도봉구","계","55~59세",2045
"도봉구","계","60~64세",3324
"노원구","계","50~54세",1563
"노원구","계","55~59세",2762
"노원구","계","60~64세",4437
"은평구","계","50~54세",1503
"은평구","계","55~59세",2596
"은평구","계","60~64세",3745
"서대문구","계","50~54세",936
"서대문구","계","55~59세",1551
"서대문구","계","60~64세",2225
"마포구","계","50~54세",1073
"마포구","계","55~59세",1704
"마포구","계","60~64세",2355
"양천구","계","50~54세",1559
"양천구","계","55~59세",2410
"양천구","계","60~64세",3706
"강서구","계","50~54세",1652
"강서구","계","55~59세",3104
"강서구","계","60~64세",4738
"구로구","계","50~54세",1262
"구로구","계","55~59세",2373
"구로구","계","60~64세",3730
"금천구","계","50~54세",867
"금천구","계","55~59세",1489
"금천구","계","60~64세",2030
"영등포구","계","50~54세",1232
"영등포구","계","55~59세",1963
"영등포구","계","60~64세",2911
"동작구","계","50~54세",1159
"동작구","계","55~59세",1841
"동작구","계","60~64세",2951
"관악구","계","50~54세",1289
"관악구","계","55~59세",2302
"관악구","계","60~64세",3612
"서초구","계","50~54세",1436
"서초구","계","55~59세",1976
"서초구","계","60~64세",2993
"강남구","계","50~54세",1796
"강남구","계","55~59세",2481
"강남구","계","60~64세",3693
"송파구","계","50~54세",2067
"송파구","계","55~59세",3210
"송파구","계","60~64세",5150
"강동구","계","50~54세",1332
"강동구","계","55~59세",2437
"강동구","계","60~64세",3887
"부산광역시","계","50~54세",13524
"부산광역시","계","55~59세",29142
"부산광역시","계","60~64세",43688
"읍부","계","50~54세",576
"읍부","계","55~59세",1021
"읍부","계","60~64세",1405
"면부","계","50~54세",92
"면부","계","55~59세",217
"면부","계","60~64세",325
"동부","계","50~54세",12856
"동부","계","55~59세",27904
"동부","계","60~64세",41958
"중구","계","50~54세",165
"중구","계","55~59세",343
"중구","계","60~64세",538
"서구","계","50~54세",365
"서구","계","55~59세",867
"서구","계","60~64세",1328
"동구","계","50~54세",261
"동구","계","55~59세",689
"동구","계","60~64세",1143
"영도구","계","50~54세",419
"영도구","계","55~59세",1009
"영도구","계","60~64세",1671
"부산진구","계","50~54세",1284
"부산진구","계","55~59세",2858
"부산진구","계","60~64세",4492
"동래구","계","50~54세",962
"동래구","계","55~59세",2270
"동래구","계","60~64세",3424
"남구","계","50~54세",989
"남구","계","55~59세",1983
"남구","계","60~64세",3454
"북구","계","50~54세",1254
"북구","계","55~59세",2854
"북구","계","60~64세",3964
"해운대구","계","50~54세",1909
"해운대구","계","55~59세",3555
"해운대구","계","60~64세",4930
"사하구","계","50~54세",1297
"사하구","계","55~59세",3010
"사하구","계","60~64세",4385
"금정구","계","50~54세",996
"금정구","계","55~59세",2197
"금정구","계","60~64세",3313
"강서구","계","50~54세",555
"강서구","계","55~59세",1127
"강서구","계","60~64세",1307
"연제구","계","50~54세",770
"연제구","계","55~59세",1603
"연제구","계","60~64세",2620
"수영구","계","50~54세",673
"수영구","계","55~59세",1397
"수영구","계","60~64세",2338
"사상구","계","50~54세",957
"사상구","계","55~59세",2142
"사상구","계","60~64세",3051
"기장군","계","50~54세",668
"기장군","계","55~59세",1238
"기장군","계","60~64세",1730
"대구광역시","계","50~54세",10952
"대구광역시","계","55~59세",20739
"대구광역시","계","60~64세",27691
"읍부","계","50~54세",800
