X,Y,SIG_CD,SIG_ENG_NM,SIG_KOR_NM
126.977321294872,37.5949173193147,11110,Jongno-gu,종로구
126.995968139708,37.5601435645515,11140,Jung-gu,중구
126.979906988236,37.5313849658817,11170,Yongsan-gu,용산구
127.041058533321,37.5510296891346,11200,Seongdong-gu,성동구
127.085743538941,37.5467060833519,11215,Gwangjin-gu,광진구
127.054848127808,37.5819565478932,11230,Dongdaemun-gu,동대문구
127.092880339594,37.5978025938629,11260,Jungnang-gu,중랑구
127.017579491168,37.605701902397,11290,Seongbuk-gu,성북구
127.01118897524,37.6434739135588,11305,Gangbuk-gu,강북구
127.032368819558,37.6691020802886,11320,Dobong-gu,도봉구
127.075034689337,37.6525110479902,11350,Nowon-gu,노원구
126.9270228772,37.619211282575,11380,Eunpyeong-gu,은평구
126.939063095715,37.5777853091701,11410,Seodaemun-gu,서대문구
126.90827002745,37.5593134925542,11440,Mapo-gu,마포구
126.855477660235,37.5247894102085,11470,Yangcheon-gu,양천구
126.822806969987,37.5612354282422,11500,Gangseo-gu,강서구
126.856300578972,37.494405428562,11530,Guro-gu,구로구
126.900820244409,37.460567564932,11545,Geumcheon-gu,금천구
126.910169467377,37.5223082885755,11560,Yeongdeungpo-gu,영등포구
126.951641454384,37.4988768760721,11590,Dongjak-gu,동작구
126.94533715305,37.4673756905882,11620,Gwanak-gu,관악구
127.031220311114,37.4732954673461,11650,Seocho-gu,서초구
127.062985204248,37.496643894288,11680,Gangnam-gu,강남구
127.115295039724,37.5056192415446,11710,Songpa-gu,송파구
127.147011841766,37.5504502432307,11740,Gangdong-gu,강동구
129.031540159229,35.1054777649765,26110,Jung-gu,중구
129.014953716842,35.1038366309611,26140,Seo-gu,서구
129.044585579112,35.1291863169525,26170,Dong-gu,동구
129.064809560315,35.0786879511769,26200,Yeongdo-gu,영도구
129.043060340962,35.1652441104079,26230,Busanjin-gu,부산진구
129.079220086997,35.2062124413512,26260,Dongnae-gu,동래구
129.09400637421,35.1261367850437,26290,Nam-gu,남구
129.023439816224,35.2292296109315,26320,Buk-gu,북구
129.153593410145,35.1938533870775,26350,Haeundae-gu,해운대구
128.974348989036,35.089348397509,26380,Saha-gu,사하구
129.09153071655,35.2588907400803,26410,Geumjeong-gu,금정구
128.892400632762,35.1383478736243,26440,Gangseo-gu,강서구
129.082935267148,35.1824179804274,26470,Yeonje-gu,연제구
129.111162702945,35.1613314645342,26500,Suyeong-gu,수영구
128.986592234076,35.1580303720627,26530,Sasang-gu,사상구
129.20095599308,35.298011655192,26710,Gijang-gun,기장군
128.593605829897,35.8665352870795,27110,Jung-gu,중구
128.685659919878,35.9344263269652,27140,Dong-gu,동구
128.549697600139,35.875001670122,27170,Seo-gu,서구
128.585329627647,35.8351771566271,27200,Nam-gu,남구
128.577204365929,35.928922369433,27230,Buk-gu,북구
128.661274412621,35.8338488599253,27260,Suseong-gu,수성구
128.529212140453,35.8274830974553,27290,Dalseo-gu,달서구
128.498298095736,35.7595730524469,27710,Dalseong-gun,달성군
126.480560474821,37.4675339086202,28110,Jung-gu,중구
126.639746637373,37.4829865777958,28140,Dong-gu,동구
126.664658504534,37.4525957836578,28170,Nam-gu,남구
126.647303325661,37.3985640201171,28185,Yeonsu-gu,연수구
126.726461010787,37.4313488561901,28200,Namdong-gu,남동구
126.721209447651,37.4966587431931,28237,Bupyeong-gu,부평구
126.734699930007,37.5572969592657,28245,Gyeyang-gu,계양구
126.656377798465,37.5578044330831,28260,Seo-gu,서구
126.402088106516,37.7124439463702,28710,Ganghwa-gun,강화군
125.636022168781,37.5440112606974,28720,Ongjin-gun,옹진군
126.949464278293,35.1173802314729,29110,Dong-gu,동구
126.850719139965,35.1356931089764,29140,Seo-gu,서구
126.856718099182,35.094058246229,29155,Nam-gu,남구
126.925486478595,35.1932461078119,29170,Buk-gu,북구
126.752895215221,35.165035015064,29200,Gwangsan-gu,광산구
127.475037426818,36.3239202317219,30110,Dong-gu,동구
127.411057308426,36.2808601508367,30140,Jung-gu,중구
127.345104125158,36.2802396257158,30170,Seo-gu,서구
127.333256401427,36.3767904924868,30200,Yuseong-gu,유성구
127.44015180936,36.4121786816404,30230,Daedeok-gu,대덕구
129.308242854328,35.5710493389105,31110,Jung-gu,중구
129.32820225904,35.5160499552684,31140,Nam-gu,남구
129.426065515166,35.5255736518458,31170,Dong-gu,동구
129.379810506048,35.6100539220539,31200,Buk-gu,북구
129.186925498308,35.5466167337385,31710,Ulju-gun,울주군
127.25878005171,36.5606577077713,36110,Sejong-si,세종특별자치시
127.003451705928,37.3139656949375,41111,"Jangan-gu, Suwon-si",수원시 장안구
126.979743844621,37.2605301593287,41113,"Gwonseon-gu, Suwon-si",수원시 권선구
127.016238668158,37.2774636263776,41115,"Paldal-gu, Suwon-si",수원시 팔달구
127.056698859559,37.2749903870432,41117,"Yeongtong-gu, Suwon-si",수원시 영통구
127.104145207623,37.4351662434194,41131,"Sujeong-gu, Seongnam-si",성남시 수정구
127.163909913139,37.4334332323041,41133,"Jungwon-gu, Seongnam-si",성남시 중원구
127.106064012078,37.3793015652006,41135,"Bundang-gu, Seongnam-si",성남시 분당구
127.068423081171,37.7361921086982,41150,Uijeongbu-si,의정부시
126.911385562954,37.4041334482309,41171,"Manan-gu, Anyang-si",안양시만안구
126.955502710589,37.4003918332148,41173,"Dongan-gu, Anyang-si",안양시동안구
126.788710884833,37.5042583329255,41190,Bucheon-si,부천시
126.864701314374,37.4451590729482,41210,Gwangmyeong-si,광명시
126.987700731117,37.0118307119911,41220,Pyeongtaek-si,평택시
127.077912731503,37.9165376080558,41250,Dongducheon-si,동두천시
126.870815035149,37.3160038290771,41271,"Sangnok-gu, Ansan-si",안산시상록구
126.694041180178,37.2819249106818,41273,"Danwon-gu, Ansan-si",안산시단원구
126.878632101378,37.6558098689314,41281,"Deogyang-gu, Goyang-si",고양시덕양구
126.79755818289,37.6798651411208,41285,"Ilsandong-gu, Goyang-si",고양시일산동구
126.727983527863,37.6802051177656,41287,"Ilsanseo-gu, Goyang-si",고양시일산서구
127.002679466968,37.4338452851064,41290,Gwacheon-si,과천시
127.131229917778,37.5992214944815,41310,Guri-si,구리시
127.243660644781,37.6625298136196,41360,Namyangju-si,남양주시
127.051329667292,37.1632906795761,41370,Osan-si,오산시
126.788392826751,37.3893974129503,41390,Siheung-si,시흥시
126.921134688465,37.3434826923013,41410,Gunpo-si,군포시
126.989625456096,37.3623877442248,41430,Uiwang-si,의왕시
127.20594379921,37.5228141773236,41450,Hanam-si,하남시
127.252933149866,37.2033318957478,41461,"Cheoin-gu, Yongin-si",용인시처인구
127.121321535688,37.2674266471046,41463,"Giheung-gu, Yongin-si",용인시기흥구
127.071551073175,37.3334474297137,41465,"Suji-gu, Yongin-si",용인시수지구
126.810750156308,37.8561919785348,41480,Paju-si,파주시
127.481014112008,37.2097758784679,41500,Icheon-si,이천시
127.302722292129,37.0350270541425,41550,Anseong-si,안성시
126.626430622388,37.6817723728081,41570,Gimpo-si,김포시
126.874858489878,37.1652366093612,41590,Hwaseong-si,화성시
127.301175951961,37.4030907411204,41610,Gwangju-si,광주시
127.001134902899,37.8086575582412,41630,Yangju-si,양주시
127.250337280304,37.9697780107604,41650,Pocheon-si,포천시
127.615737344978,37.3024584190453,41670,Yeoju-si,여주시
127.024456396852,38.0927299478823,41800,Yeoncheon-gun,연천군
127.450192131089,37.8184331715876,41820,Gapyeong-gun,가평군
127.579264460353,37.5180558486651,41830,Yangpyeong-gun,양평군
127.739868443904,37.8897967866927,42110,Chuncheon-si,춘천시
127.929525334327,37.3082228773745,42130,Wonju-si,원주시
128.832378859904,37.7091019724069,42150,Gangneung-si,강릉시
129.055568795408,37.5066813951912,42170,Donghae-si,동해시
128.980072612542,37.172312409606,42190,Taebaek-si,태백시
128.519541023358,38.1760313786622,42210,Sokcho-si,속초시
129.121710003243,37.277480888459,42230,Samcheok-si,삼척시
128.074260851069,37.7450490651798,42720,Hongcheon-gun,홍천군
128.077067399412,37.5091420708623,42730,Hoengseong-gun,횡성군
128.500296034183,37.2041136139486,42750,Yeongwol-gun,영월군
128.482589988928,37.5568392092279,42760,Pyeongchang-gun,평창군
128.739063164576,37.378686291947,42770,Jeongseon-gun,정선군
127.398924395203,38.239085227805,42780,Cheorwon-gun,철원군
127.685165712505,38.1384262833897,42790,Hwacheon-gun,화천군
128.00020637556,38.1756087929397,42800,Yanggu-gun,양구군
128.264727153164,38.0646002611477,42810,Inje-gun,인제군
128.411155527583,38.3627536323132,42820,Goseong-gun,고성군
128.595008608358,38.0044863378404,42830,Yangyang-gun,양양군
127.584880170361,36.5921124242822,43111,"Sangdang-gu, Cheongju-si",청주시 상당구
127.438400680028,36.5472630452618,43112,"Seowon-gu, Cheongju-si",청주시 서원구
127.369274883973,36.6469607625864,43113,"Heungdeok-gu, Cheongju-si",청주시 흥덕구
127.491317617217,36.7205789140812,43114,"Cheongwon-gu, Cheongju-si",청주시 청원구
127.895662264793,37.0151969422309,43130,Chungju-si,충주시
128.140959298264,37.0599118320089,43150,Jecheon-si,제천시
127.729335671527,36.4899495877011,43720,Boeun-gun,보은군
127.656558857677,36.3204561131185,43730,Okcheon-gun,옥천군
127.814228143629,36.1596589565438,43740,Yeongdong-gun,영동군
127.604618078233,36.7864730135078,43745,Jeungpyeong-gun,증평군
127.440463550866,36.8709995193753,43750,Jincheon-gun,진천군
127.829588124543,36.7696590254203,43760,Goesan-gun,괴산군
127.614206769649,36.9762226143929,43770,Eumseong-gun,음성군
128.387841620811,36.9944527624647,43800,Danyang-gun,단양군
127.220894604506,36.7641172204376,44131,"Dongnam-gu, Cheonan-si",천안시동남구
127.161809403871,36.8927106650173,44133,"Seobuk-gu, Cheonan-si",천안시서북구
127.075219114092,36.4798197619166,44150,Gongju-si,공주시
126.594247036573,36.3402452315974,44180,Boryeong-si,보령시
126.980075570082,36.8073163343412,44200,Asan-si,아산시
126.46360158405,36.7839934557542,44210,Seosan-si,서산시
127.157716376656,36.1908869133429,44230,Nonsan-si,논산시
127.23442661185,36.2915936975407,44250,Gyeryong-si,계룡시
